,GeneID,logfc_Native_CM,logfc_Early_hipsc_CM,description
661,PLAU,-4.017405,3.4378726,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]"
850,BRINP3,3.5069861,-3.931202,BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]
476,TRIM34,-4.7030416,2.9297807,tripartite motif containing 34 [Source:HGNC Symbol;Acc:HGNC:10063]
679,LIN28A,-3.9604611,3.4659073,lin-28 homolog A [Source:HGNC Symbol;Acc:HGNC:15986]
973,HOXB7,-3.2407532,4.231587,homeobox B7 [Source:HGNC Symbol;Acc:HGNC:5118]
656,FRMD5,4.0254383,-3.3967907,FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]
1109,DHRS7C,2.926025,-4.6487827,dehydrogenase/reductase 7C [Source:HGNC Symbol;Acc:HGNC:32423]
209,ABCC9,5.9907656,-2.269569,ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]
591,FN1,-4.2129483,3.2201445,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
1035,FBN1,-3.0835152,4.3589334,fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]
572,INPP4B,4.3167324,-3.1131847,inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]
691,MYO18B,3.920248,-3.4157073,myosin XVIIIB [Source:HGNC Symbol;Acc:HGNC:18150]
530,FAM89A,-4.498661,2.974915,family with sequence similarity 89 member A [Source:HGNC Symbol;Acc:HGNC:25057]
400,MEST,-5.0151463,2.6595738,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]
860,SLC7A3,-3.4858618,3.7986896,solute carrier family 7 member 3 [Source:HGNC Symbol;Acc:HGNC:11061]
538,MAEL,4.4746513,-2.9370527,maelstrom spermatogenic transposon silencer [Source:HGNC Symbol;Acc:HGNC:25929]
634,MSX1,-4.080827,3.2204154,msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]
280,ANXA1,-5.518395,2.371487,annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]
688,TAGLN2,-3.9356928,3.3202343,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]
686,CFAP299,3.937819,-3.315149,cilia and flagella associated protein 299 [Source:HGNC Symbol;Acc:HGNC:28554]
571,FOXC2,-4.3225207,3.0096955,forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]
250,EGFL7,-5.67544,2.2834327,EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]
284,TMEM71,5.5000987,-2.3514059,transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]
1016,CD79B,-3.114459,4.1477933,CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]
1298,LRRC39,2.5153797,-5.1329775,leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]
1463,BGN,-2.2077763,5.847869,biglycan [Source:HGNC Symbol;Acc:HGNC:1044]
245,MXRA8,-5.7110553,2.2508903,matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]
671,FOXS1,-3.9861739,3.2180812,forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]
224,MFAP2,-5.8884053,2.1768954,microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]
554,NR0B2,4.404821,-2.9071577,nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961]
498,FLRT3,-4.6342454,2.757892,fibronectin leucine rich transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:3762]
721,NNAT,-3.85443,3.3057413,neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]
205,NCCRP1,-6.036222,2.1097093,"NCCRP1, F-box associated domain containing [Source:HGNC Symbol;Acc:HGNC:33739]"
531,GPBAR1,-4.4951186,2.8272545,G protein-coupled bile acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:19680]
549,COL1A1,-4.429816,2.868484,collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]
140,PTN,-6.475138,1.9582857,pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]
949,TFPI2,-3.297203,3.800636,tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]
229,MYRIP,5.856029,-2.126387,myosin VIIA and Rab interacting protein [Source:HGNC Symbol;Acc:HGNC:19156]
683,CD248,-3.9475982,3.1465364,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]
833,COL9A3,-3.5623536,3.479507,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
526,ACACB,4.5091553,-2.7488582,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]
1041,CYP2J2,3.0646706,-4.0399227,cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]
436,DTNA,4.8548226,-2.549681,dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]
1046,TFPI,-3.0428183,4.0667706,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
304,FBLN2,-5.4081054,2.2649379,fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]
1348,LRRC14B,2.4363763,-5.011748,leucine rich repeat containing 14B [Source:HGNC Symbol;Acc:HGNC:37268]
1352,EOMES,-2.4334512,5.0030932,eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]
1392,TXLNB,2.3642373,-5.146338,taxilin beta [Source:HGNC Symbol;Acc:HGNC:21617]
157,VIM,-6.3170266,1.9224006,vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
192,SLC30A10,6.120644,-1.9838701,solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]
1048,KLHL31,3.0361075,-3.9954844,kelch like family member 31 [Source:HGNC Symbol;Acc:HGNC:21353]
207,FJX1,-5.9927735,2.0219586,four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]
193,TMSB4X,-6.113245,1.979766,thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]
141,CCDC80,-6.466764,1.869428,coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]
292,PTGES,-5.480806,2.2048182,prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]
845,SCN5A,3.5233388,-3.4192796,sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593]
563,ARHGDIB,-4.35272,2.7673492,Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]
938,DUSP4,-3.3286746,3.615159,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
177,IFITM3,-6.208774,1.9377826,interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]
448,ARL4D,-4.791631,2.5063224,ARF like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656]
330,YIPF7,5.292516,-2.258939,Yip1 domain family member 7 [Source:HGNC Symbol;Acc:HGNC:26825]
954,AMY2B,3.2872567,-3.6350014,amylase alpha 2B [Source:HGNC Symbol;Acc:HGNC:478]
298,CENPW,-5.448857,2.190139,centromere protein W [Source:HGNC Symbol;Acc:HGNC:21488]
962,CAMK2B,3.267631,-3.6095653,calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]
986,RCAN2,3.207738,-3.675044,regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]
159,PDGFRA,-6.3013268,1.8628314,platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]
464,CDH24,-4.7412515,2.4700506,cadherin 24 [Source:HGNC Symbol;Acc:HGNC:14265]
1673,SOX18,-1.8181467,6.436642,SRY-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11194]
1246,PTGIS,-2.6156917,4.4603496,prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]
647,CRABP1,-4.0624533,2.8590634,cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]
54,MOGAT1,7.6248975,-1.5206463,monoacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:18210]
1323,ERVH48-1,-2.4804142,4.6626296,"endogenous retrovirus group 48 member 1, envelope [Source:HGNC Symbol;Acc:HGNC:17216]"
968,PRDM16,3.2425296,-3.566499,PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]
248,DUSP6,-5.7061553,2.015126,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]
595,ANK1,4.2039585,-2.7338881,ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]
988,DPPA4,-3.191357,3.5978553,developmental pluripotency associated 4 [Source:HGNC Symbol;Acc:HGNC:19200]
1361,CLDN5,-2.4217293,4.7386374,claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]
1025,SORBS2,3.1051593,-3.6919262,sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]
658,NR2F1,-4.021269,2.84759,nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]
601,SMIM24,-4.1643906,2.7466922,small integral membrane protein 24 [Source:HGNC Symbol;Acc:HGNC:37244]
163,MAP3K5,6.283101,-1.8191303,mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]
678,CPNE5,3.9617321,-2.8844833,copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]
219,LIMD2,-5.9396234,1.9213028,LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]
1132,GNG2,-2.8674736,3.9781053,G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]
355,DMD,5.1927996,-2.1934025,dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]
377,EFNB2,-5.109055,2.2178648,ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]
170,CDK1,-6.242338,1.8132818,cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]
481,PPARGC1B,4.692449,-2.4043245,PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]
287,CD24,-5.4914794,2.0533712,CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]
399,GBGT1,-5.01806,2.236375,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group) [Source:HGNC Symbol;Acc:HGNC:20460]"
114,NEK10,6.8246493,-1.6410549,NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]
1322,PCAT19,-2.4816818,4.4990616,prostate cancer associated transcript 19 [Source:HGNC Symbol;Acc:HGNC:49593]
1225,HHEX,-2.6491551,4.2117443,hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]
