"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KCNK1",0,4.89112332093258,0.212,0.018,0
"LRRC10",0,-3.11361566237648,0.043,0.237,0
"NFX1",0,2.36096242269222,0.271,0.077,0
"NKTR",0,0.943832556236316,0.371,0.177,0
"SEMA4B",0,3.01355259591291,0.248,0.054,0
"USH2A",0,3.6060774868683,0.218,0.024,0
"DCUN1D2",0,2.0484654818012,0.284,0.09,0
"TMEM245",0,1.33823707219,0.356,0.162,0
"UQCC1",0,1.90819104862529,0.291,0.097,0
"CTNND2",0,1.73264699159956,0.335,0.142,0
"ANKAR",0,2.71566531440603,0.231,0.038,0
"C18orf32",0,-3.72309302148116,0.034,0.227,0
"CEP192",0,1.64866240214996,0.304,0.111,0
"MRPS34",0,-2.53134049169415,0.052,0.245,0
"TIMM17B",0,-3.35170120030152,0.024,0.217,0
"ZNF565",0,1.49745583159781,0.271,0.078,0
"COX20",0,-1.71454077135542,0.166,0.359,0
"CPNE5",0,1.45586553230198,0.345,0.152,0
"LMBRD1",0,2.00300491958243,0.286,0.093,0
"MIB1",0,1.31696144473452,0.351,0.158,0
"TNKS",0,1.30242245333726,0.35,0.157,0
"HADHB",0,0.908160615041848,0.577,0.384,0
"BCKDHB",0,1.43506932404005,0.334,0.142,0
"RPS27L",0,-1.84074515294708,0.143,0.335,0
"ADCY9",0,1.4601030963365,0.319,0.127,0
"ENTPD1-AS1",0,1.9598302949579,0.27,0.078,0
"FRK",0,4.59702410008107,0.201,0.009,0
"GSE1",0,1.65807625066998,0.331,0.139,0
"NDUFAF8",0,-2.05989706716755,0.084,0.276,0
"PAFAH1B3",0,-6.5615136852044,0.002,0.194,0
"SNF8",0,-2.41237058349735,0.07,0.262,0
"TALDO1",0,-2.45230414125774,0.057,0.249,0
"TFDP2",0,1.26453072241568,0.38,0.188,0
"EPB41L4A-AS1",0,-16.5754935410131,0,0.192,0
"FRYL",0,1.14803819226136,0.353,0.161,0
"PICALM",0,0.768896609951991,0.418,0.226,0
"CADM1",0,0.635649075295938,0.442,0.251,0
"CCND2",0,2.78045897609626,0.249,0.058,0
"FXYD1",0,-1.7103333550808,0.132,0.323,0
"HDAC2",0,-2.26757214292632,0.084,0.275,0
"MRPS26",0,-2.29121371697463,0.065,0.256,0
"MYCBP2",0,1.55400808874472,0.311,0.12,0
"PXMP2",0,-3.75994599593151,0.034,0.225,0
"SCPEP1",0,3.10389166876157,0.222,0.031,0
"SGK3",0,3.47643374811454,0.216,0.025,0
"VPS45",0,1.72410886642753,0.302,0.111,0
"MYH9",0,1.32195256171988,0.36,0.169,0
"RNF19A",0,1.28305037571638,0.354,0.163,0
"SARNP",0,-2.6230668836283,0.097,0.288,0
"HELZ",0,1.40977856860708,0.335,0.145,0
"ASB15-AS1",0,4.46524670774825,0.203,0.013,0
"CNTNAP3B",0,4.96003571208004,0.206,0.016,0
"ERGIC3",0,-3.03720008813044,0.04,0.23,0
"FAM227B",0,2.27717702649112,0.258,0.068,0
"LINGO1",0,5.07885349334736,0.211,0.021,0
"RBMS3-AS2",0,3.18287225217999,0.209,0.019,0
"SNRPB2",0,-2.65377109813681,0.046,0.236,0
"SNX29",0,2.30750478379383,0.263,0.073,0
"STAU2",0,1.25613737693203,0.393,0.203,0
"TANGO2",0,3.03639500492711,0.224,0.034,0
"TLN2",0,0.72719791595513,0.421,0.231,0
"ADAMTS9-AS2",0,2.3090173076076,0.279,0.09,0
"ATG7",0,1.89568041139891,0.277,0.088,0
"INO80",0,2.02217597088428,0.277,0.088,0
"ARF5",0,-3.82266858701718,0.018,0.207,0
"CDK14",0,0.500094022803139,0.464,0.275,0
"DIP2B",0,1.42982760971647,0.326,0.137,0
"MAOB",0,2.18628946048407,0.267,0.078,0
"REPS1",0,1.69246567931772,0.312,0.123,0
"SYNE2",0,0.813019320861092,0.392,0.203,0
"TMEM38B",0,1.89322717925062,0.314,0.125,0
"GMPR",0,1.55263906215064,0.345,0.156,0
"IDH2",0,-1.36058671372252,0.347,0.535,0
"ATF7IP",0,1.35747617497378,0.341,0.153,0
"ANK1",0,3.22044263431486,0.225,0.037,0
"APOE",0,-5.83900549060971,0.005,0.193,0
"APPL2",0,2.43420657885738,0.248,0.06,0
"ENSG00000254604",0,14.2653564995787,0.188,0,0
"GRHPR",0,-2.17247018107319,0.077,0.265,0
"IGF2BP3",0,-4.10162272684458,0.013,0.201,0
"POLR2G",0,-3.96155697127968,0.018,0.206,0
"PTRHD1",0,-4.82326518086259,0.008,0.196,0
"RNASEH2C",0,-2.84299696777305,0.039,0.227,0
"USP38-DT",0,14.113472917045,0.188,0,0
"CRPPA",0,1.89336363355832,0.284,0.096,0
"EYA3",0,1.77791849310981,0.289,0.101,0
"TLK2",0,2.05123106158658,0.282,0.094,0
"METTL15",0,1.3290656377943,0.336,0.149,0
"MRPS7",0,-1.85985696284192,0.089,0.276,0
"AKR1B1",0,-2.13258236054583,0.083,0.27,0
"ATE1",0,1.23248447500006,0.365,0.178,0
"EMC6",0,-2.52820310374262,0.045,0.232,0
"ERP29",0,-2.56141043307679,0.054,0.241,0
"GATAD2B",0,1.57535287031043,0.32,0.133,0
"GLRX5",0,-2.411520331694,0.06,0.247,0
"MAP3K20-AS1",0,2.49675951066626,0.25,0.063,0
"MAPK4",0,2.12236588483633,0.272,0.085,0
"RB1",0,1.54188317723968,0.306,0.119,0
"SLC7A2",0,3.47297162191461,0.222,0.035,0
"SSBP4",0,-3.39399790771716,0.025,0.212,0
"ZNF704",0,1.14790105680579,0.364,0.177,0
"NT5C2",0,1.23723287975117,0.351,0.164,0
"RB1CC1",0,1.30954551704061,0.355,0.168,0
"CSNK1A1",0,0.639736280548004,0.561,0.375,0
"MTUS1",0,0.79336518471093,0.54,0.354,0
"ZFYVE16",0,1.4953804420816,0.328,0.142,0
"ACSS1",0,3.19211957869882,0.215,0.029,0
"CSTPP1",0,13.9748233498043,0.186,0,0
"DMXL1",0,1.64859101537096,0.306,0.12,0
"EEFSEC",0,2.04468210903432,0.27,0.084,0
"ENSG00000272368",0,14.1270209251654,0.186,0,0
"HNRNPAB",0,-3.07322235742436,0.04,0.226,0
"MAP3K14",0,3.08270015439558,0.235,0.049,0
"MDN1",0,2.32908531548861,0.26,0.074,0
"MMP15",0,-3.25572358949756,0.036,0.222,0
"PDHB",0,-2.19729932160005,0.07,0.256,0
"POLD2",0,-1.77749324570121,0.107,0.293,0
"PPP1CA",0,-2.90302410694775,0.039,0.225,0
"UBA6-DT",0,14.1636824776653,0.186,0,0
"PRRC2B",0,-16.5528249771725,0,0.186,0
"HMG20A",0,1.80732534879005,0.283,0.097,0
"CCNY",0,0.969936359912819,0.397,0.212,0
"LNPEP",0,1.28347084941345,0.337,0.152,0
"SNRPC",0,-1.96490533621838,0.096,0.281,0
"ADAM9",0,1.38432015884294,0.323,0.138,0
"ENSG00000226803",0,14.0907968333856,0.185,0,0
"ID3",0,-5.33507233211154,0.006,0.191,0
"LARP4",0,1.60121838040515,0.31,0.125,0
"LINC01085",0,8.46226687332446,0.187,0.002,0
"MRPL36",0,-3.13904999263303,0.03,0.215,0
"P4HB",0,-2.06364212699522,0.111,0.296,0
"PIP5K1A",0,1.69555327247247,0.302,0.117,0
"SLC39A14",0,2.03101319549648,0.289,0.104,0
"KIDINS220",0,0.361944539933175,0.416,0.231,0
"ARL17A",0,2.99587483437429,0.219,0.035,0
"CAMTA1",0,-1.38925326924287,0.287,0.471,0
"CD81",0,-1.98045446025929,0.137,0.321,0
"FLOT1",0,-1.82877678550934,0.107,0.291,0
"MKKS",0,-2.91339673132661,0.05,0.234,0
"MORF4L1",0,-1.31133871957863,0.315,0.499,0
"PALS1",0,13.922100690424,0.184,0,0
"POT1",0,2.37101978110153,0.241,0.057,0
"RBM28",0,2.07405428800123,0.262,0.078,0
"FKBP4",0,-3.84944306116595,0.02,0.203,0
"NCOA6",0,2.0109785282784,0.281,0.098,0
"TUBE1",0,1.80978872920171,0.27,0.087,0
"CEP112",0,1.37841982249159,0.285,0.102,0
"CYBA",0,-4.62135053232431,0.008,0.191,0
