"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MYSM1",0,-0.443729693282869,0.106,0.319,0
"PPP4R3B",0,-0.423463982008977,0.108,0.321,0
"RRAD",0,2.48222195562735,0.529,0.316,0
"TMEM134",0,0.347712148929877,0.189,0.402,0
"ARMC10",0,-0.423059153104532,0.086,0.299,0
"CD2BP2",0,-0.259954121806978,0.089,0.302,0
"ORAI3",0,-5.2847197957488,0.002,0.215,0
"PAF1",0,-0.429282480916297,0.096,0.309,0
"TNNC1",0,1.25210923831022,0.961,0.748,0
"BLOC1S2",0,-0.698471576806152,0.066,0.278,0
"CCDC112",0,-1.06364118322028,0.057,0.269,0
"ERO1A",0,-0.615881072496972,0.104,0.316,0
"KIF20B",0,-0.724281899053472,0.069,0.281,0
"PUS7L",0,-0.690715414836164,0.061,0.273,0
"SMAD9",0,-0.844514235819587,0.068,0.28,0
"SNAPC3",0,-0.359366482044965,0.119,0.331,0
"FTX",0,0.659564741713282,0.207,0.419,0
"NOC3L",0,-1.53459705387993,0.038,0.25,0
"NOL11",0,-0.510131283863533,0.094,0.306,0
"POGZ",0,0.272370831761953,0.16,0.372,0
"TMX3",0,-0.427487505663204,0.097,0.309,0
"GTF3C3",0,-0.895724403910218,0.076,0.288,0
"PACS1",0,0.557815914443315,0.195,0.407,0
"CES2",0,-2.9236448275016,0.015,0.226,0
"DDX23",0,-0.920352924976162,0.055,0.266,0
"DNAJC1",0,0.439797626685394,0.182,0.393,0
"FTSJ3",0,-1.17399977701881,0.053,0.264,0
"SPAST",0,-1.18196088121297,0.055,0.266,0
"TRIM23",0,-1.12561137030346,0.064,0.275,0
"ZNF480",0,-1.10727803661074,0.054,0.265,0
"C18orf32",0,0.465149140421438,0.227,0.438,0
"EPHB2",0,-2.50261795705474,0.01,0.221,0
"HOXB4",0,-12.8711197649149,0,0.211,0
"MAVS",0,-0.600566457172266,0.088,0.299,0
"PLK2",0,-1.28826839639572,0.087,0.298,0
"TP53I3",0,-0.304958554338229,0.09,0.301,0
"NACA",0,-0.298271202301652,0.77,0.981,0
"PIP4P2",0,-0.568610094054117,0.083,0.294,0
"CPXM1",0,-0.48169649543759,0.043,0.253,0
"MALT1",0,-0.321760654220402,0.116,0.326,0
"MITD1",0,-0.765759925438063,0.058,0.268,0
"MRPL16",0,0.36649018015678,0.191,0.401,0
"NUBP1",0,-0.25889311185153,0.109,0.319,0
"RFK",0,-0.682512568047975,0.068,0.278,0
"SEMA6A",0,-1.74179758398808,0.043,0.253,0
"SPIN1",0,0.362215142667845,0.187,0.397,0
"TPD52",0,-1.67605064520215,0.043,0.253,0
"CLU",0,-0.548991794956293,0.092,0.302,0
"DMWD",0,-1.55551442162166,0.041,0.251,0
"SUMO3",0,0.576017311260133,0.22,0.43,0
"TRAF3IP1",0,-1.92016618461487,0.035,0.245,0
"TBX2-AS1",0,-4.82653847164303,0.003,0.213,0
"PARG",0,-0.600763932986263,0.085,0.295,0
"STAMBP",0,-0.582984043702099,0.074,0.284,0
"TDP2",0,-0.714013884208652,0.079,0.289,0
"BCL7C",0,0.321905030375328,0.181,0.39,0
"BRD1",0,-1.22653637261093,0.069,0.278,0
"FAM199X",0,-1.28399648733382,0.048,0.257,0
"LRP10",0,-0.800080382975679,0.064,0.273,0
"NSF",0,-1.44313085530982,0.045,0.254,0
"PPP1R3C",0,2.76800406005197,0.46,0.251,0
"SLC7A6OS",0,-0.927501611186498,0.055,0.264,0
"STK17A",0,-0.971230713518827,0.057,0.266,0
"ZRANB1",0,-0.461256255457458,0.113,0.322,0
"GSK3B",0,0.295881258560506,0.167,0.376,0
"MDP1",0,-7.06682362205905,0.001,0.21,0
"RC3H2",0,-0.449484626659369,0.1,0.309,0
"SDC3",0,-1.43793914922903,0.034,0.243,0
"SHMT2",0,-0.258924065429885,0.101,0.31,0
"VARS",0,-12.4276212824001,0,0.209,0
"CSNK1G2",0,-0.744532920237139,0.069,0.277,0
"NUDCD1",0,-1.01039281558568,0.055,0.263,0
"POLD3",0,-0.84687940563033,0.057,0.265,0
"RMND5A",0,-0.30455747436071,0.13,0.338,0
"CTTNBP2",0,-0.726445215055323,0.092,0.3,0
"FAM107B",0,-1.77740346100526,0.04,0.248,0
"FLT1",0,-1.2901438467537,0.033,0.241,0
"MAP3K4",0,-0.518890689845558,0.096,0.304,0
"SCAMP2",0,-0.347478744756347,0.094,0.302,0
"SEPHS2",0,-0.509055815072579,0.086,0.294,0
"SLC36A4",0,-0.748526550718376,0.077,0.285,0
"TAGLN",0,-1.139699202976,0.362,0.57,0
"DLG3",0,-1.22969547898235,0.059,0.266,0
"E2F3",0,-0.91592356040297,0.072,0.279,0
"ISCU",0,0.505355345725272,0.236,0.443,0
"LSG1",0,-1.42928540240114,0.043,0.25,0
"NBN",0,-0.863233917350314,0.065,0.272,0
"SEC22B",0,-0.743542280711745,0.068,0.275,0
"SERPINB1",0,-1.3567563746804,0.048,0.255,0
"UBE2A",0,0.315402747182916,0.179,0.386,0
"EGFL7",0,0.266606615634421,0.09,0.297,0
"SNAPC1",0,-0.728653980228029,0.091,0.298,0
"C17orf80",0,-1.63355619779675,0.04,0.247,0
"NEPRO",0,-0.558952056338671,0.081,0.288,0
"TAF6",0,-0.428401817551151,0.083,0.29,0
"TMEM70",0,-0.56079040215518,0.078,0.285,0
"ERGIC1",0,-0.303807740346626,0.106,0.312,0
"FAM168B",0,-0.274652610657498,0.116,0.322,0
"HCFC1",0,-0.988764433369248,0.062,0.268,0
"LONP1",0,-0.369632134047372,0.107,0.313,0
"SAV1",0,-0.981915523715296,0.064,0.27,0
"THOC3",0,-1.81591468211336,0.023,0.229,0
"VPS41",0,-0.319190495947081,0.112,0.318,0
"YEATS4",0,-0.421870568001524,0.074,0.28,0
"ZNF677",0,-0.656161855982916,0.074,0.28,0
"ZNRD1",0,-0.376916682201932,0.07,0.276,0
"CDK16",0,0.396978214423245,0.167,0.373,0
"DAB2",0,-3.70951961374403,0.004,0.21,0
"DPF2",0,-0.348475167777302,0.095,0.301,0
"MDFI",0,-0.481282039615786,0.033,0.239,0
"ORC3",0,-0.39345015955315,0.09,0.296,0
"RSPRY1",0,-0.819397533503739,0.076,0.282,0
"SACM1L",0,-0.847761374589078,0.078,0.284,0
"FAM200B",0,0.333155701575512,0.185,0.39,0
"IDS",0,-0.943378757490239,0.063,0.268,0
"MICU2",0,0.327627850419574,0.191,0.396,0
"SELENOM",0,-0.715994345444553,0.058,0.263,0
"WDR12",0,-0.310146785677211,0.102,0.307,0
"COL4A6",0,-0.650073505034099,0.098,0.303,0
"CTSZ",0,-0.381321296955426,0.101,0.306,0
"FREM2",0,-0.73837099269172,0.099,0.304,0
"PRMT5",0,-0.386242122335856,0.089,0.294,0
"RECQL",0,-1.15938672239009,0.039,0.244,0
"SERINC5",0,-0.64796196620539,0.09,0.295,0
"PAAF1",0,-0.583409037963706,0.078,0.283,0
"ARID3B",0,-1.69668558075571,0.043,0.247,0
"IER5L",0,-0.702750031781274,0.066,0.27,0
"MCM3AP",0,-0.638282068558933,0.069,0.273,0
"PPP6R1",0,-0.738907530350198,0.076,0.28,0
"SYNPO2L",0,-0.800488083249723,0.195,0.399,0
"WDR46",0,-0.84201815670618,0.046,0.25,0
"EFEMP2",0,0.620541273975472,0.208,0.412,0
"GPATCH11",0,-1.70718033314439,0.031,0.235,0
"NUDCD3",0,-0.4534845580945,0.089,0.293,0
"TNKS",0,0.276803433597745,0.157,0.361,0
"ICK",0,-12.4983490480061,0,0.204,0
"C19orf70",0,-13.8802634794662,0,0.204,0
"USP5",0,-0.464989830585818,0.082,0.286,0
"CNDP2",0,-0.717040902283205,0.066,0.269,0
"FUCA2",0,-0.522280965544254,0.078,0.281,0
"ISY1",0,-0.568164906113813,0.07,0.273,0
"MBOAT7",0,-0.938702597927696,0.052,0.255,0
"C12orf73",0,-0.669889307472001,0.067,0.27,0
"C11orf74",0,-12.5933850340623,0,0.203,0
"DERL1",0,-0.504405468521443,0.086,0.289,0
"EXOC1",0,-0.293306803525336,0.095,0.298,0
"OTUD4",0,-0.572013039566443,0.095,0.298,0
"RPS6KB1",0,-2.08026976018317,0.037,0.24,0
"ZNF626",0,-3.72356834350436,0.007,0.21,0
"ALG3",0,-0.786366364898921,0.046,0.248,0
"B3GAT3",0,-0.670826032198819,0.048,0.25,0
"CORO1B",0,-0.689543965427883,0.048,0.25,0
"DNAAF2",0,-0.501151029757067,0.075,0.277,0
"HMGXB3",0,-0.8428130758413,0.057,0.259,0
"SLC39A6",0,-1.01064348496545,0.058,0.26,0
"TMX1",0,-0.834298375563201,0.059,0.261,0
"AES",0,-13.824473451472,0,0.202,0
"C17orf75",0,-0.384055414792385,0.093,0.295,0
"DR1",0,-0.256171031790174,0.098,0.3,0
"DYRK4",0,-1.16106045880097,0.041,0.243,0
"FOXP4",0,-1.53139652013764,0.037,0.239,0
"MAPK9",0,-0.561852554100535,0.09,0.292,0
"SERPINF1",0,-1.91517447258954,0.013,0.215,0
"TEX264",0,-0.314156377920822,0.093,0.295,0
"TRNAU1AP",0,-0.354080797379998,0.093,0.295,0
"SF3B4",0,-0.379591390384659,0.08,0.282,0
"MALAT1",0,-1.44237973858457,0.797,0.999,0
"AATF",0,-0.488250023722353,0.08,0.281,0
"B3GNT2",0,-1.26878978818004,0.054,0.255,0
"DDX41",0,-0.767115431391467,0.055,0.256,0
"EBAG9",0,-0.902963420492628,0.053,0.254,0
"ENO2",0,-1.71203909836625,0.044,0.245,0
"GLIPR2",0,-0.602446817872096,0.057,0.258,0
"METTL2A",0,-0.888723395743755,0.06,0.261,0
"NUSAP1",0,-1.87083638572592,0.047,0.248,0
"PRRC1",0,-0.720766272221061,0.071,0.272,0
"RASSF8-AS1",0,-0.777267769100928,0.075,0.276,0
"TMEM45A",0,-0.814637241860415,0.051,0.252,0
"USF2",0,0.390945972956269,0.196,0.397,0
"WDR73",0,-1.06646778472785,0.058,0.259,0
"HSPB11",0,0.292321169081033,0.14,0.341,0
"ARHGAP28",0,-1.3400251393054,0.035,0.236,0
"BORCS8",0,-4.54397449333845,0.003,0.204,0
"LTV1",0,-1.10772537076138,0.041,0.242,0
"BOLA2",0,-12.2991875992463,0,0.2,0
"FLNB",0,-0.599793236770894,0.079,0.279,0
"GLT8D1",0,-0.321554360453725,0.075,0.275,0
"KLF13",0,-1.15788199491635,0.058,0.258,0
"MORN4",0,-0.895807349260287,0.053,0.253,0
"NFAT5",0,0.60832965576559,0.176,0.376,0
"SDC4",0,-1.36375166583713,0.058,0.258,0
"TRIM73",0,-5.56787974997491,0.002,0.202,0
"WNK3",0,-1.98055351134579,0.033,0.233,0
"CPSF3",0,-0.305241746614276,0.092,0.292,0
"NUDT9",0,-0.44781096432708,0.09,0.29,0
"VASP",0,-0.269823195465311,0.098,0.298,0
"BLOC1S5",0,-1.58221202215126,0.03,0.229,0
"CCDC183",0,-5.08878487706527,0.003,0.202,0
"CDC23",0,-0.725990514198154,0.061,0.26,0
"PAK1IP1",0,-1.08609731008375,0.049,0.248,0
"QARS1",0,14.7010513343839,0.199,0,0
"SLC35E3",0,-1.09901099244539,0.054,0.253,0
"ENC1",0,-2.82324426309646,0.013,0.212,0
"ATP5MD",0,0.968180811269925,0.705,0.903,0
"GSPT2",0,-2.24960419910287,0.023,0.221,0
"HSPB3",0,2.24002244583409,0.489,0.291,0
"PRPF4",0,-1.03960991706953,0.052,0.25,0
"PSME3",0,-0.385153479511142,0.079,0.277,0
"RANBP6",0,-1.56398652109063,0.043,0.241,0
"XPOT",0,-0.781320815162845,0.071,0.269,0
"ZNRF1",0,-0.448488764314815,0.081,0.279,0
"EGFEM1P",0,15.7074180550362,0.198,0,0
"INO80C",0,-2.60795952680945,0.013,0.211,0
"RPL41",0,-1.70764321306879,0.798,0.996,0
"ACAA1",0,0.31420975903545,0.178,0.375,0
"ALAS1",0,-0.560209791764493,0.083,0.28,0
"BROX",0,-0.555319065554694,0.078,0.275,0
"IRGQ",0,-5.77324824201063,0.002,0.199,0
"MLLT3",0,0.626684348439124,0.192,0.389,0
"MOAP1",0,-0.27306684890245,0.124,0.321,0
"NFKBIL1",0,-0.798774092568569,0.057,0.254,0
"SEZ6L2",0,-3.18807018284152,0.006,0.203,0
"STARD3NL",0,0.417221601637189,0.187,0.384,0
"ZNF506",0,-4.15407721624212,0.006,0.203,0
"ZNF714",0,-0.990608758343555,0.048,0.245,0
"DPY19L2P1",0,15.0264594110012,0.197,0,0
