"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRP4K",0,15.3056447585994,0.32,0,0
"SAMD12",0,5.436951314002,0.366,0.046,0
"THUMPD3",0,-1.54449892929604,0.065,0.385,0
"TIMM17A",0,-0.742763726821919,0.118,0.438,0
"SNHG1",0,-15.9179916768907,0,0.32,0
"ATP6AP1",0,-2.36369778763577,0.032,0.352,0
"ELOVL6",0,-2.37014255681966,0.035,0.355,0
"ENSG00000130723",0,15.3083992966496,0.319,0,0
"ERICH1",0,-1.2778441120803,0.078,0.397,0
"MRPS11",0,-1.21195692908044,0.076,0.395,0
"WNK2",0,3.7406212371345,0.501,0.182,0
"CRNKL1",0,-2.41440660898272,0.032,0.351,0
"DYNC1I1",0,3.87260187632132,0.482,0.163,0
"ISCA1",0,-1.08561010538509,0.094,0.413,0
"SURF1",0,-2.06704266207124,0.035,0.354,0
"URI1",0,-0.26123016211975,0.218,0.536,0
"BFAR",0,-1.6748824821978,0.055,0.373,0
"BST2",0,-6.2827150933098,0.003,0.321,0
"CIAO1",0,-0.772355854309448,0.119,0.437,0
"FBXO17",0,-2.84788245227866,0.023,0.341,0
"FBXO22",0,-1.1117328197329,0.104,0.422,0
"GPC5",0,10.2875540822938,0.321,0.003,0
"NDUFA9",0,-1.45881159671452,0.106,0.424,0
"SEC14L1",0,-1.43389848739313,0.063,0.381,0
"AC010642.2",0,-15.6201423603306,0,0.318,0
"PLOD1",0,-2.6240048288376,0.032,0.35,0
"SIK3",0,3.60509020869655,0.576,0.258,0
"SURF6",0,-2.41816741602105,0.032,0.35,0
"BLMH",0,-1.98343971626159,0.048,0.365,0
"COPS3",0,-1.27520668582435,0.078,0.395,0
"FAHD1",0,-2.078526278811,0.04,0.357,0
"ITPA",0,-1.93523396417455,0.041,0.358,0
"KBTBD12",0,8.93029672303518,0.32,0.003,0
"MCRIP2",0,-0.722125249465064,0.138,0.455,0
"MRPL9",0,-2.52663895175234,0.024,0.341,0
"NUMA1",0,-0.980072266463465,0.116,0.433,0
"TIPARP",0,-1.18514675159334,0.106,0.423,0
"ALKBH5",0,-1.15849368257975,0.092,0.409,0
"GATAD1",0,-0.703845200524025,0.16,0.477,0
"MFGE8",0,-0.387444694714762,0.256,0.573,0
"RNASEH1",0,-2.66980219074574,0.031,0.348,0
"GMDS-DT",0,4.29838437479911,0.42,0.104,0
"TM7SF2",0,-1.6716463254505,0.059,0.375,0
"TCTEX1D2",0,-15.6270516932512,0,0.316,0
"AK2",0,-0.657126994412363,0.15,0.465,0
"CHD7",0,-0.317999245844055,0.247,0.562,0
"MALSU1",0,-1.12876228594795,0.09,0.405,0
"AP2A2",0,-0.900488666215303,0.116,0.431,0
"AP3D1",0,-0.734405199766934,0.132,0.447,0
"BCKDK",0,-2.28174595348076,0.026,0.341,0
"CEP290",0,-0.990736658940718,0.125,0.44,0
"CNPY3",0,-3.65444115628295,0.012,0.327,0
"DICER1",0,-0.51512464828888,0.198,0.513,0
"PIGP",0,-2.11152238573354,0.038,0.353,0
"PLPP1",0,4.19929567912991,0.447,0.132,0
"PTPRF",0,-3.9522319333809,0.013,0.328,0
"RAB31",0,-1.90254599406533,0.046,0.361,0
"SPATC1L",0,-3.94465811750721,0.009,0.324,0
"STYXL2",0,15.6696089013421,0.315,0,0
"SZRD1",0,-1.33200327189877,0.071,0.386,0
"TMEM164",0,4.96169605699002,0.381,0.066,0
"FBXO9",0,-0.678752508476836,0.159,0.474,0
"COPS8",0,-0.86958295036194,0.088,0.402,0
"MRPL42",0,-0.596864242396809,0.142,0.456,0
"WASL",0,-0.355758696123364,0.205,0.519,0
"ATG3",0,-1.66498902869521,0.057,0.371,0
"NTHL1",0,-3.60623324751011,0.011,0.325,0
"ZNF407",0,4.23928239341694,0.422,0.108,0
"BX890604.2",0,-15.7760622408469,0,0.314,0
"PPP1R15A",0,-1.34160836538958,0.1,0.414,0
"ZCCHC17",0,-0.498855220007107,0.163,0.477,0
"ATOSA",0,15.3528361181168,0.313,0,0
"CHCHD7",0,-1.81007477395106,0.043,0.356,0
"COLEC12",0,-5.46490403461618,0.005,0.318,0
"GNL2",0,-2.14006447971487,0.04,0.353,0
"PFKL",0,-2.68049874319239,0.026,0.339,0
"PHLDA3",0,-4.1788727950973,0.01,0.323,0
"SEPTIN9",0,-1.33232588843194,0.081,0.394,0
"SYNGR2",0,-1.81099489127223,0.052,0.365,0
"TMEFF2",0,8.71322219024474,0.316,0.003,0
"VCAM1",0,-7.50442435670866,0.001,0.314,0
"RBPMS2",0,-0.397756972303609,0.207,0.519,0
"SMU1",0,-1.17031274852164,0.09,0.402,0
"SREK1",0,-0.355196620477636,0.237,0.549,0
"ZYX",0,-2.42835538644375,0.031,0.343,0
"ACAT2",0,-3.4960519972442,0.016,0.328,0
"AP2A1",0,-1.03371299198487,0.085,0.397,0
"DCTN6",0,-1.83798529031455,0.042,0.354,0
"RRP36",0,-1.35212693469249,0.063,0.375,0
"STX16",0,-1.3523173322064,0.126,0.438,0
"ZDHHC4",0,-2.91810079818738,0.02,0.332,0
"ZNF24",0,-0.86711410391385,0.123,0.435,0
"CXADR",0,-0.646123839590951,0.158,0.47,0
"MAST2",0,3.89098422845704,0.477,0.165,0
"IGSF3",0,-2.74858914714949,0.03,0.341,0
"CSE1L",0,-1.4439666568129,0.075,0.386,0
"GLUL",0,-1.02584884319231,0.115,0.426,0
"PAGR1",0,-5.093826385235,0.007,0.318,0
"SMIM20",0,-1.8945137829832,0.045,0.356,0
"TGFB1I1",0,-4.06672927923258,0.007,0.318,0
